time-sec,depth-m,ODBA
1,1.25344,0.578694096
2,1.23848,0.425002486
3,1.22208,0.616979674
4,1.20328,0.332737559
5,1.18584,0.524252533
6,1.16528,0.303270976
7,1.14952,0.631396324
8,1.14248,0.602410524
9,1.14504,0.450270624
10,1.15232,0.440726397
11,1.1644,0.596409227
12,1.17888,0.439486238
13,1.18616,0.433383034
14,1.18888,0.58316719
15,1.19592,0.502949407
16,1.21016,0.437404225
17,1.22976,0.659515378
18,1.24576,0.36260889
19,1.25216,0.693337578
20,1.24176,0.671330113
21,1.21512,0.81092077
22,1.17272,0.629307357
23,1.1256,0.807085413
24,1.07544,0.642922847
25,1.03464,0.864290244
26,1.01368,0.842040009
27,1.01008,0.661991216
28,1.01984,0.651151528
29,1.04168,0.644030955
30,1.0664,0.668806635
31,1.08096,0.710753609
32,1.08112,0.918544464
33,1.06808,0.644933071
34,1.04256,1.029813036
35,1.0132,0.915433069
36,0.98344,0.912136455
37,0.95952,0.644525497
38,0.94504,0.724167011
39,0.94008,0.642196426
40,0.93096,0.571238447
41,0.91816,0.582537958
42,0.91112,0.82612316
43,0.91616,0.610505326
44,0.93384,0.66091524
45,0.96896,0.612536077
46,1.01232,0.666741615
47,1.04976,0.590760974
48,1.07336,0.610087826
49,1.08224,0.48707013
50,1.08352,0.763326835
51,1.08216,0.565533973
52,1.0808,0.674106628
53,1.08376,0.672243738
54,1.09392,0.608225359
55,1.10976,0.440263495
56,1.12856,0.751521273
57,1.14984,0.55863334
58,1.16616,0.529182048
59,1.17456,0.488177871
60,1.17184,0.547921272
61,1.16392,0.425991888
62,1.15712,0.656046779
63,1.15816,0.685972215
64,1.17256,0.64039805
65,1.20288,0.631459876
66,1.23976,0.764525838
67,1.27624,0.594139097
68,1.30848,0.379193059
69,1.33,0.469556968
70,1.33976,0.511615331
71,1.34664,0.569950671
72,1.3492,0.46936231
73,1.35728,0.560801295
74,1.3704,0.465545018
75,1.37936,0.662963583
76,1.3828,0.592710126
77,1.38688,0.801145731
78,1.37744,0.643352789
79,1.35128,0.59586641
80,1.31864,0.555651205
81,1.284,0.615101034
82,1.25208,0.577552055
83,1.2304,0.640692851
84,1.2196,0.517703306
85,1.2136,0.609077243
86,1.204,0.619836217
87,1.19224,1.05312147
88,1.18176,0.608326891
89,1.17144,0.916146181
90,1.15888,0.792381118
91,1.14848,0.63597635
92,1.14152,0.481206062
93,1.1356,0.478242798
94,1.13712,0.394744514
95,1.14984,0.370537175
96,1.1736,0.632200178
97,1.19728,0.429136028
98,1.22344,0.517720461
99,1.24768,0.601236769
100,1.26368,0.554861577
101,1.27392,0.515291967
102,1.28328,0.498551466
103,1.28664,0.58431683
104,1.29248,0.419492383
105,1.31048,0.421631701
106,1.33392,0.484859599
107,1.35944,0.457632206
108,1.38744,0.523565042
109,1.412,0.467958646
110,1.4304,0.411276105
111,1.44552,0.535581723
112,1.45952,0.328909223
113,1.47256,0.500599698
114,1.484,0.480983883
115,1.49696,0.409170525
116,1.50728,0.55599365
117,1.50816,0.471771735
118,1.50064,0.695796051
119,1.48992,0.701808781
120,1.47384,0.595989269
121,1.46056,0.572729808
122,1.4524,0.760921073
123,1.4448,0.584988392
124,1.4332,0.964829996
125,1.41688,0.638205854
126,1.39104,0.575111838
127,1.3652,0.584343703
128,1.35032,0.369055553
129,1.35144,0.566637108
130,1.35816,0.823888597
131,1.36256,0.376965424
132,1.36056,0.535839668
133,1.34536,0.573120112
134,1.31656,0.676060991
135,1.29152,0.675524749
136,1.27808,0.464317549
137,1.27176,0.763250847
138,1.27608,0.919929152
139,1.28456,0.63529977
140,1.2908,0.629975143
141,1.29216,0.763154877
142,1.2808,0.693432631
143,1.25944,0.588992155
144,1.2372,0.41243396
145,1.21984,0.451106359
146,1.20928,0.503911325
147,1.2168,0.413822332
148,1.23312,0.540763796
149,1.24704,0.574130277
150,1.25488,0.512901587
151,1.26232,0.667829848
152,1.26464,0.646987899
153,1.27408,0.419383269
154,1.29672,0.602828777
155,1.32432,0.726098564
156,1.34568,0.416745884
157,1.36016,0.780483084
158,1.36104,0.627292239
159,1.34656,0.67090615
160,1.33024,0.516180915
161,1.33168,0.62588312
162,1.35464,0.504787904
163,1.37568,0.82865792
164,1.38176,0.571232235
165,1.37816,1.146051657
166,1.36048,0.534253391
167,1.33504,0.421249865
168,1.32896,0.725682475
169,1.3604,0.707531963
170,1.40928,0.897973782
171,1.45128,0.702747786
172,1.46592,0.701295238
173,1.44432,1.130575042
174,1.3872,0.848788736
175,1.3144,0.943176303
176,1.25304,0.667700947
177,1.21376,0.475715423
178,1.20712,0.927181864
179,1.24472,0.499173848
180,1.3024,1.014087079
181,1.34752,0.750927653
182,1.3756,0.654340248
183,1.3832,0.852798165
184,1.35544,0.592928015
185,1.31224,0.615983592
186,1.29184,0.642100053
187,1.31176,0.786455406
188,1.3532,1.066516371
189,1.4064,0.689566741
190,1.45448,0.501266404
191,1.48472,0.62388643
192,1.48568,0.68288406
193,1.46464,0.754210404
194,1.43672,0.620930633
195,1.422,0.784995273
196,1.43008,0.583356981
197,1.46544,0.470292066
198,1.51056,0.787309189
199,1.54056,0.490946837
200,1.5476,0.653230226
201,1.52568,0.545132729
202,1.47864,0.636509014
203,1.43136,0.417067325
204,1.4004,0.379767911
205,1.38624,0.45262589
206,1.3788,0.815936847
207,1.36752,0.705018594
208,1.35632,0.650639597
209,1.3484,0.764557953
210,1.3348,0.592298175
211,1.31512,0.754277541
212,1.29624,0.637925369
213,1.27824,0.440514917
214,1.26776,0.30370599
215,1.2716,0.469103088
216,1.29384,0.583278817
217,1.33016,0.486460613
218,1.37144,0.454328699
219,1.40208,0.621745072
220,1.41224,0.584572178
221,1.39536,0.54883547
222,1.3652,0.544125668
223,1.34648,0.567911088
224,1.35424,0.982829531
225,1.388,0.947986303
226,1.43616,0.737755812
227,1.47296,0.644383307
228,1.48504,0.696592494
229,1.47424,0.527354538
230,1.44696,0.60455784
231,1.42648,0.798522719
232,1.43944,0.52500942
233,1.48288,0.960908507
234,1.5336,0.636171221
235,1.58168,1.223418043
236,1.61136,1.603211704
237,1.61528,1.452819847
238,1.59408,1.161648752
239,1.56912,0.769284055
240,1.554,0.962339392
241,1.55928,1.118943567
242,1.57744,0.826088141
243,1.59896,1.144602251
244,1.612,1.332862451
245,1.6096,0.668100988
246,1.59392,1.179115415
247,1.576,0.941298738
248,1.5688,0.767000968
249,1.57608,0.91856607
250,1.6004,0.724302553
251,1.63592,0.683968866
252,1.66552,0.597970644
253,1.68152,0.834317426
254,1.6872,0.713204197
255,1.69104,0.755468479
256,1.69648,0.725559407
257,1.71832,0.724424948
258,1.75664,1.12410272
259,1.79624,0.767357566
260,1.82376,0.779442399
261,1.82544,0.605342729
262,1.7976,0.583115461
263,1.74752,0.639952986
264,1.69776,0.705126065
265,1.65888,0.726705605
266,1.64704,0.978078188
267,1.64864,1.291161208
268,1.6448,1.835257582
269,1.61904,1.514429167
270,1.57856,0.83645674
271,1.52648,0.671164979
272,1.48144,0.687648833
273,1.46456,0.581117857
274,1.47192,0.771138712
275,1.48848,0.653131089
276,1.5052,0.490903106
277,1.51352,0.535752931
278,1.50704,0.669305692
279,1.49768,0.469884955
280,1.48976,0.4472219
281,1.49056,0.439666564
282,1.50224,0.540485145
283,1.51552,0.5399548
284,1.51896,0.454381902
285,1.51832,0.595160935
286,1.51256,0.448708719
287,1.50096,0.275535065
288,1.48856,0.497143298
289,1.48256,0.359610168
290,1.47184,0.471580419
291,1.45704,0.657117427
292,1.438,0.637056764
293,1.41328,0.456036198
294,1.38696,0.606925024
295,1.3768,0.377369751
296,1.38256,0.471408385
297,1.40936,0.484675419
298,1.45304,0.383756989
299,1.4968,0.418555125
300,1.52048,0.412448601
301,1.52656,0.351023557
302,1.51344,0.364460448
303,1.49016,0.385320016
304,1.47624,0.262875084
305,1.48592,0.303516096
306,1.50576,0.445324471
307,1.52312,0.357128096
308,1.5352,0.307492674
309,1.53896,0.536266744
310,1.53744,0.49114667
311,1.542,0.327980762
312,1.56208,0.368961108
313,1.596,0.311405604
314,1.63744,0.393185421
315,1.67312,0.417571725
316,1.696,0.438650457
317,1.70856,0.278844379
318,1.71592,0.438003574
319,1.72896,0.27348489
320,1.7528,0.294987865
321,1.792,0.605913107
322,1.84232,0.449385851
323,1.89272,0.501088693
324,1.9264,0.313112156
325,1.93832,0.309682114
326,1.93216,0.508413743
327,1.9172,0.523837864
328,1.90944,0.373947933
329,1.9152,0.436482951
330,1.93464,0.447524952
331,1.95776,0.352554613
332,1.9776,0.327604257
333,1.98504,0.422166203
334,1.98232,0.481217236
335,1.97264,0.301550784
336,1.95728,0.441936861
337,1.93216,0.345885577
338,1.9064,0.475765136
339,1.88288,0.376989299
340,1.8576,0.289438191
341,1.83448,0.470065482
342,1.81856,0.397726422
343,1.80464,0.592598804
344,1.78776,0.632778931
345,1.76696,0.360581374
346,1.7424,0.476494451
347,1.71496,0.473140684
348,1.68272,0.39704879
349,1.6504,0.523979999
350,1.62816,0.451294197
351,1.61928,0.431668143
352,1.61488,0.450179362
353,1.6076,0.368182359
354,1.59352,0.431736131
355,1.57176,0.48789403
356,1.54312,0.357061964
357,1.518,0.487957658
358,1.50616,0.375087296
359,1.51072,0.526406391
360,1.52792,0.471926122
361,1.55184,0.380667252
362,1.56984,0.364966336
363,1.57296,0.321021512
364,1.56752,0.575093225
365,1.55704,0.426221153
366,1.54456,0.647439361
367,1.53488,0.517612515
368,1.53688,0.442921807
369,1.54048,0.361126035
370,1.54432,0.320454101
371,1.54944,0.301659234
372,1.56152,0.521499353
373,1.57376,0.450940982
374,1.59464,0.280709743
375,1.62504,0.437311103
376,1.65704,0.395404961
377,1.682,0.315500559
378,1.7008,0.309648157
379,1.71496,0.431038272
380,1.72656,0.312831579
381,1.74064,0.413634804
382,1.76072,0.480043843
383,1.78552,0.305341836
384,1.81032,0.351981632
385,1.82464,0.274656477
386,1.8356,0.416891018
387,1.84376,0.255793356
388,1.8524,0.418436604
389,1.8648,0.293791379
390,1.88544,0.337664531
391,1.90848,0.388071626
392,1.936,0.479330993
393,1.9704,0.375080389
394,1.9996,0.49246278
395,2.02048,0.34125811
396,2.03752,0.384317117
397,2.05056,0.401712653
398,2.05712,0.511816858
399,2.06584,0.375527008
400,2.07488,0.600955902
401,2.07856,0.598067016
402,2.07312,1.06934223
403,2.0628,0.42050225
404,2.04688,0.613296531
405,2.03232,0.427912141
406,2.03296,0.283987812
407,2.0536,0.379021606
408,2.088,0.303179622
409,2.12296,0.494273961
410,2.14928,0.35274548
411,2.15544,0.488572325
412,2.1468,0.340766142
413,2.12376,0.398503304
414,2.09672,0.473249704
415,2.06744,0.459421209
416,2.0404,0.645890715
417,2.01472,0.337208526
418,2.0012,0.715043906
419,2.00952,0.639993483
420,2.04432,1.381042809
421,2.08816,0.788825394
422,2.12056,0.34871631
